,call_tx_hash,trade_index,pool,trade_envy,is_used
0,0x9a9d29cf57eec2c3ac8e5cf4e1984ddf30eb9b708af5380c350dd395b60da747,-1,,,
1,0xd27c2aa5dee574d630af467a353c3463ec67b4a201ea4dccd3b30ebed4e0c9d6,-1,,,
2,0x36ade13a244741d6b0de1133ac7a4203a816fb9de6c780767648179547ac25d2,-1,,,
3,0xef67df364739cb25b404d90548fb80764a56294c6a78daeddc3bdb86393ff1d0,-1,,,
4,0xa3ab0362c03a60d93e4c27baea369790a43763f1c49455773a93d1a44ad89f71,-1,,,
5,0xa82915ab7d090f39b9a3d808db2df5645a14a2f8ed5832e5d9f410d4b7398a60,-1,,,
6,0x569e3fe4f333d2b32468ca18b6eed75858200eb253b1bdff81b1876d0561b732,-1,,,
7,0x8ae768122d2e15f9264445a494565675f7dff613ddf65ec3b6f311453143723c,-1,,,
8,0xc9a56d5dcc998e3c034da21ed482f9c43eef585abaf27ee63dbd235fb7163f57,-1,,,
9,0xb0ea01e68764ba609438d9a6a396b5dcb731224143c22fa58083ba0467537634,-1,,,
10,0xba3f08467bb55592a3cd9f1a320f8a06d61b0f7b7125b9de5a516d08d196b40a,-1,,,
11,0xa1ae7284c8d99937cd95276068f5becdfe6ba952919b966d927eeec9717e23ce,-1,,,
12,0x3b81fcca7941863d182f7a0409943db15137e9837cec60b8996645ee57353153,-1,,,
13,0x1b2474af2991ed7c460e3e063bf4e125168d7d9b77f94cf54eb70285d1298e14,-1,,,
14,0x30088820dd28c32ed6e82f88880611645cf835cebe60df9da184d7edea746598,-1,,,
15,0x564bccfd73e9238dfb2eccae28db04650453b8ec5b69df1e93f746c4e749e983,-1,,,
16,0x0eccfda00f3589e169021875ad54884069ce1fb69a8928d398515939c2b7715b,-1,,,
17,0xfc4c87b36749c2c68023b3ce71f3e34b8dd37fba0e754e2c5b16aac1940aebbd,-1,,,
18,0x2fed6c0bb6de6d0f7d762086660748858fdc2def62b464249dc3826e0c76da9b,-1,,,
19,0xaaf2e3e3eec35a106ad091bd1d852ab85c54d1586df88d7f29deaff63a6780a1,1,0x9bd702e05b9c97e4a4a3e47df1e0fe7a0c26d2f1,0.003630489307365365,True
20,0xca1f5b93fc8e14a15550604f6a509b8c9700c6e34740c3c6735f46885a137bb3,-1,,,
21,0xb9aa8745cc77ac971c3fe6f49b1a2ae3857d09f420b37e686809dbd704599e1a,-1,,,
22,0xbb1aca682331c83b3c7da12135bad4fb572b0353bbf2a359cce7a03280060c0f,-1,,,
23,0xb7a430bcf82af2b7f32ac5f1ac476756847269aaeada51caecfe1dde86b2fbaa,-1,,,
24,0x823dc7d6b5b5d5f2b30c99d995ac68baf7887868b14f652c929036a906b299b9,-1,,,
25,0x4ca948b3ec95cf21d83c348dfd46113a335b22c898acebb0a0d7d5d01f0d79d4,-1,,,
26,0x6c866ed0dfaab43b485996d39c1f69d8709e3c227a58815dbeccdee23c39cc35,-1,,,
27,0xacb45c1dbf1d3cc80855050edb4d6876a539bcea59b42a14f867b20a295b8e65,-1,,,
28,0xe0d7f6f46cd4352cd1406ba523fa8537e0493671512e3002363ab3c2d28edc4a,-1,,,
