,call_tx_hash,trade_index,pool,trade_envy,is_used
72,0x3a82da6416f53a5442a664cf292a420c00a7579e96f7a6e0012020e2d5e00a1f,-1,,,
73,0xb489293d8475c9e21403cbcdfa8ecfabc7ddb4026ba1911aa9f3bda99b6dfa4e,-1,,,
74,0x9f8bd6ae65fac53e21425bc0e1a76e3a9a66b87ddab9228bf12a0e0bcedd5b56,-1,,,
75,0x29ff8888432ac34d35d735175290e5dd25fa28cde3118e20fe71e0987eae1177,-1,,,
76,0xd03fb1968bf9ff5a9279424b83c86983de315111a175ac41e3d6e15afb2f7214,-1,,,
77,0xddff575820353a62cb1ca55328c11c4b791074aa273bdb1bad7d45071a6a56fb,-1,,,
78,0xc5b9a4d3d550fba633f1c4d92b83e2014289a23a030d307f77c558782b3a6447,-1,,,
79,0x007d993bbf57082b61335d1a958058b1fabd55b2498c065304688771ba41e8aa,-1,,,
80,0x045a8d59accffb421abd87261bc91f31ae7cd2cd46d05ca52a99fddc56395d0d,-1,,,
81,0xc0d7d9694b6a79b55ab038cb4ac670ec06e60e3b3c745407d0562e91e427e8c2,-1,,,
82,0x9b188d34f5a56d53fa393f2955640d399f581d7ed710bae3c2be026d728f2cc5,-1,,,
83,0xb63483e4eb331b1475a80c594d83524a316dc17fa0c1125c4505ce128a369a26,0,0xf08d4dea369c456d26a3168ff0024b904f2d8b91,-0.0023113357136556483,False
